Species_ID,Bishop_DB_Match,TSN,Taxonomic_Order,Taxonomic_Family,Genus,Species,Subdivision,Scientific_name,taxonRank,Authority,Synonym,Authority_Source,Citation,Common_name,Code,Life_form,Life_cycle,Omit_in_NPSpecies,Complete,Update_date,Update_by,Update_comments,TSN_park,Park,Park_common_name,Life_form_park,Nativeness,Distribution,Conservation_status,Update_date_park,Update_by_park,Update_comments_park
20100315154438-100052237.510681,No,808456,Cyperales,Cyperaceae,Carex ,fuirenoides,NA,Carex fuirenoides,species,NA,NA,NA,NA,NA,CARFUI,Sedge,Perennial,FALSE,FALSE,2013-11-07T00:00:00Z,Kelly Kozar,"Updated TSNs to most current from the ITIS database.  Most were updates from negative, temporary TSNs to permanent TSNs.",808456,WAPA,NA,NA,Native,NA,NA,NA,NA,NA
20100315154438-100197613.239288,Yes,19105,Urticales,Cannabaceae,Trema ,cannabina,NA,Trema cannabina,species,NA,NA,NA,NA,magele,TRECAN,NA,NA,FALSE,FALSE,2013-12-13T10:54:06Z,Kelly Kozar,Updated family to new family name based on Wagner et al. 2012.,19105,NPSA,NA,NA,Native,NA,NA,NA,NA,NA
20100315154438-100214958.190918,Yes,23289,Capparales,Brassicaceae,Raphanus ,raphanistrum,NA,Raphanus raphanistrum,species,L.,NA,Wagner et al. 2012,"Staples et al., 2003",wild radish,RAPRAP,Herb,Annual,FALSE,FALSE,2013-12-13T12:17:25Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60. Updated life form in xref table from PLANTS database.,23289,HAVO,NA,NA,Non-Native,nat,NA,NA,NA,NA
20100315154438-101445436.477661,Yes,502759,Geraniales,Geraniaceae,Geranium ,homeanum,NA,Geranium homeanum,species,Turcz.,NA,2012 Bishop Museum Technical Report 60,Wagner et al. 1990,Australasian geranium,GERHOM,Herb,Perennial,FALSE,TRUE,2013-12-12T15:35:47Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.,502759,HALE,Australasian geranium,Herb,Non-Native,nat ,NA,NA,NA,NA
20100315154438-101445436.477661,Yes,502759,Geraniales,Geraniaceae,Geranium ,homeanum,NA,Geranium homeanum,species,Turcz.,NA,2012 Bishop Museum Technical Report 60,Wagner et al. 1990,Australasian geranium,GERHOM,Herb,Perennial,FALSE,TRUE,2013-12-12T15:35:47Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.,502759,HAVO,Australasian geranium,Herb,Non-Native,nat ,NA,NA,NA,NA
20100315154438-101909756.660461,Yes,183424,Pinales,Pinaceae,Pseudotsuga ,menziesii,NA,Pseudotsuga menziesii,species,NA,NA,NA,NA,douglas-fir,PSEMEN,Tree,Perennial,FALSE,FALSE,NA,NA,NA,183424,HALE,NA,NA,Non-Native,NA,NA,NA,NA,NA
20100315154438-102321565.151215,Yes,505181,Fabales,Fabaceae,Senna ,surattensis,NA,Senna surattensis,species,(Burm. f.) H. S. Irwin & Barneby,NA,Wagner et al. 2012,"Staples et al., 2002; Oppenheimer, 2007",glossy shower,SENSUR,Tree,Perennial,FALSE,FALSE,2013-12-13T12:17:25Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60. Updated life form in xref table from PLANTS database. Updated life form in xref t,505181,HALE,NA,NA,Non-Native,nat,NA,NA,NA,NA
20100315154438-102321565.151215,Yes,505181,Fabales,Fabaceae,Senna ,surattensis,NA,Senna surattensis,species,(Burm. f.) H. S. Irwin & Barneby,NA,Wagner et al. 2012,"Staples et al., 2002; Oppenheimer, 2007",glossy shower,SENSUR,Tree,Perennial,FALSE,FALSE,2013-12-13T12:17:25Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60. Updated life form in xref table from PLANTS database. Updated life form in xref t,505181,AMME,NA,NA,Non-Native,NA,NA,NA,NA,NA
20100315154438-102321565.151215,Yes,505181,Fabales,Fabaceae,Senna ,surattensis,NA,Senna surattensis,species,(Burm. f.) H. S. Irwin & Barneby,NA,Wagner et al. 2012,"Staples et al., 2002; Oppenheimer, 2007",glossy shower,SENSUR,Tree,Perennial,FALSE,FALSE,2013-12-13T12:17:25Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60. Updated life form in xref table from PLANTS database. Updated life form in xref t,505181,WAPA,NA,NA,Non-Native,NA,NA,NA,NA,NA
20100315154438-10293424.1294861,No,846068,Rubiales,Rubiaceae,Hedyotis ,foetida,NA,Hedyotis foetida,species,NA,NA,NA,NA,starviolet,HEDFOE,Shrub,Perennial,FALSE,FALSE,2013-11-07T00:00:00Z,Kelly Kozar,"Updated TSNs to most current from the ITIS database.  Most were updates from negative, temporary TSNs to permanent TSNs.",846068,NPSA,NA,NA,Native,NA,NA,NA,NA,NA
20100315154438-103022634.983063,Yes,-9792520,Sapindales,Meliaceae,Aglaia ,mariannensis,NA,Aglaia mariannensis,species,Merrill,NA,Raulerson & Rinehart,NA,"mapunao, mapunyao",AGLMAR,Tree,Perennial,FALSE,TRUE,NA,NA,NA,-9792520,WAPA,mapunao,Tree,Native,NA,NA,NA,NA,NA
20100315154438-103022634.983063,Yes,-9792520,Sapindales,Meliaceae,Aglaia ,mariannensis,NA,Aglaia mariannensis,species,Merrill,NA,Raulerson & Rinehart,NA,"mapunao, mapunyao",AGLMAR,Tree,Perennial,FALSE,TRUE,NA,NA,NA,-9792520,AMME,mapunao,Tree,Native,NA,NA,NA,NA,NA
20100315154438-103826642.036438,Yes,40795,Cyperales,Poaceae,Festuca,myuros,NA,Festuca myuros,species,L.,Vulpia myuros (L.) C.C.Gmel.,Wagner et al. 2012,"Catalán et al., 2007; Inda et al, 2008",rat tail fescue,FESMYR,Grass,Annual,FALSE,TRUE,2013-12-12T15:38:12Z,Kelly Kozar,"Updated authority source, citation, and synonym data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.",40795,HALE,rat tail fescue,Grass,Non-Native,nat,NA,NA,NA,NA
20100315154438-103826642.036438,Yes,40795,Cyperales,Poaceae,Festuca,myuros,NA,Festuca myuros,species,L.,Vulpia myuros (L.) C.C.Gmel.,Wagner et al. 2012,"Catalán et al., 2007; Inda et al, 2008",rat tail fescue,FESMYR,Grass,Annual,FALSE,TRUE,2013-12-12T15:38:12Z,Kelly Kozar,"Updated authority source, citation, and synonym data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.",40795,HAVO,rat tail fescue,Grass,Non-Native,nat,NA,NA,NA,NA
20100315154438-103972256.183624,Yes,26798,Fabales,Fabaceae,Mucuna ,sloanei,NA,Mucuna sloanei,species,NA,NA,NA,NA,horseeye bean,MUCSLO,"Forb/herb, Vine",NA,FALSE,FALSE,2013-12-13T12:15:59Z,Kelly Kozar,Updated life form in cross reference table from data in the PLANTS database.,26798,HALE,NA,NA,Native,NA,NA,NA,NA,NA
20100315154438-104432284.832001,No,-9789803,Rubiales,Rubiaceae,Coprosma ,ochracea X rhynchocarpa,NA,Coprosma ochracea X rhynchocarpa,hybrid,NA,NA,NA,NA,NA,COPOCH1,Shrub,Perennial,FALSE,FALSE,NA,NA,NA,-9789803,HAVO,pilo,Tree,Native,end,NA,2021-10-14T00:00:00Z,Jacob Gross,"JG (2021 update): changed lifeform from [blank] to ""Tree""."
20100315154438-105452656.745911,No,-9791938,Polypodiales,Tectariaceae,Tectaria ,setchellii,NA,Tectaria setchellii,species,Maxon,NA,The Plant List 2010,NA,NA,TECSET,Fern,Perennial,FALSE,TRUE,NA,NA,NA,-9791938,NPSA,Tectaria setchellii,Fern,Native,end,NA,NA,NA,NA
20100315154438-105882227.420807,No,507407,Cyperales,Cyperaceae,Scleria ,polycarpa,NA,Scleria polycarpa,species,Boeck.,NA,Yoshioka,NA,"tafatolu, selesele",SCLPOL,Sedge,Perennial,FALSE,TRUE,NA,NA,NA,507407,NPSA,selesele,Sedge,Native,ind,NA,NA,NA,NA
20100315154438-105882227.420807,No,507407,Cyperales,Cyperaceae,Scleria ,polycarpa,NA,Scleria polycarpa,species,Boeck.,NA,Yoshioka,NA,"tafatolu, selesele",SCLPOL,Sedge,Perennial,FALSE,TRUE,NA,NA,NA,507407,WAPA,nutrush,Sedge,Native,NA,NA,NA,NA,NA
20100315154438-106133759.021759,Yes,897631,Polypodiales,Dryopteridaceae,Dryopteris ,unidentata,var. paleacea,Dryopteris unidentata var. paleacea,varietas,(Hook. & Arn.) C.Chr.; (Hillebr.) Herat ex Fraser-Jenk.,NA,2012 Bishop Museum Technical Report 60,Palmer 2003,akole,DRYUNI1,Fern,Perennial,FALSE,FALSE,2013-12-12T15:46:39Z,Kelly Kozar,"Updated TSNs from ITIS database data, mostly from temporary TSNs to permanent TSNs. Updated authority source and citation.  Updated distribution in xref table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.",897631,HALE,NA,NA,Native,end,NA,NA,NA,NA
20100315154438-106133759.021759,Yes,897631,Polypodiales,Dryopteridaceae,Dryopteris ,unidentata,var. paleacea,Dryopteris unidentata var. paleacea,varietas,(Hook. & Arn.) C.Chr.; (Hillebr.) Herat ex Fraser-Jenk.,NA,2012 Bishop Museum Technical Report 60,Palmer 2003,akole,DRYUNI1,Fern,Perennial,FALSE,FALSE,2013-12-12T15:46:39Z,Kelly Kozar,"Updated TSNs from ITIS database data, mostly from temporary TSNs to permanent TSNs. Updated authority source and citation.  Updated distribution in xref table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.",897631,HAVO,‘akole,NA,Native,end,NA,NA,NA,NA
20100315154438-106369674.20578,No,-9792650,Euphorbiales,Euphorbiaceae,Melanolepis ,multiglandulosa,var. glabrata,Melanolepis multiglandulosa var. glabrata,varietas,NA,NA,NA,NA,alom,MELMUL1,NA,NA,FALSE,FALSE,NA,NA,NA,-9792650,WAPA,NA,NA,Native,NA,NA,NA,NA,NA
20100315154438-106646120.548248,No,504422,Caryophyllales,Nyctaginaceae,Pisonia ,umbellifera,NA,Pisonia umbellifera,species,(G. Forst.) Seem. ,NA,2012 Bishop Museum Technical Report 60,Wagner et al. 1990,"papala, papala kepau",PISUMB,Tree,Perennial,FALSE,TRUE,2013-12-12T15:35:47Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.,504422,HALE,papala,Tree,Native,ind,NA,NA,NA,NA
20100315154438-106646120.548248,No,504422,Caryophyllales,Nyctaginaceae,Pisonia ,umbellifera,NA,Pisonia umbellifera,species,(G. Forst.) Seem. ,NA,2012 Bishop Museum Technical Report 60,Wagner et al. 1990,"papala, papala kepau",PISUMB,Tree,Perennial,FALSE,TRUE,2013-12-12T15:35:47Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.,504422,HAVO,papala,Tree,Native,ind,NA,NA,NA,NA
20100315154438-106646120.548248,No,504422,Caryophyllales,Nyctaginaceae,Pisonia ,umbellifera,NA,Pisonia umbellifera,species,(G. Forst.) Seem. ,NA,2012 Bishop Museum Technical Report 60,Wagner et al. 1990,"papala, papala kepau",PISUMB,Tree,Perennial,FALSE,TRUE,2013-12-12T15:35:47Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.,504422,KALA,papala,Tree,Native,ind,NA,NA,NA,NA
20100315154438-106646120.548248,No,504422,Caryophyllales,Nyctaginaceae,Pisonia ,umbellifera,NA,Pisonia umbellifera,species,(G. Forst.) Seem. ,NA,2012 Bishop Museum Technical Report 60,Wagner et al. 1990,"papala, papala kepau",PISUMB,Tree,Perennial,FALSE,TRUE,2013-12-12T15:35:47Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.,504422,NPSA,faupala,Tree,Native,ind,NA,NA,NA,NA
20100315154438-107375323.77243,Yes,500501,Apiales,Araliaceae,Polyscias ,spp.,NA,Polyscias spp.,genus,NA,NA,NA,NA,panax,POLSP.1,Tree,Perennial,FALSE,TRUE,2013-11-07T00:00:00Z,Kelly Kozar,"Updated TSNs to most current from the ITIS database.  Most were updates from negative, temporary TSNs to permanent TSNs.",500501,HALE,vī vao,Tree,Native,end,NA,NA,NA,NA
20100315154438-107375323.77243,Yes,500501,Apiales,Araliaceae,Polyscias ,spp.,NA,Polyscias spp.,genus,NA,NA,NA,NA,panax,POLSP.1,Tree,Perennial,FALSE,TRUE,2013-11-07T00:00:00Z,Kelly Kozar,"Updated TSNs to most current from the ITIS database.  Most were updates from negative, temporary TSNs to permanent TSNs.",500501,PUHO,vī vao,Tree,Native,end,NA,NA,NA,NA
20100315154438-107375323.77243,Yes,500501,Apiales,Araliaceae,Polyscias ,spp.,NA,Polyscias spp.,genus,NA,NA,NA,NA,panax,POLSP.1,Tree,Perennial,FALSE,TRUE,2013-11-07T00:00:00Z,Kelly Kozar,"Updated TSNs to most current from the ITIS database.  Most were updates from negative, temporary TSNs to permanent TSNs.",500501,NPSA,vī vao,Tree,Native,end,NA,NA,NA,NA
20100315154438-107543349.266052,Yes,30590,Solanales,Solanaceae,Physalis ,angulata,NA,Physalis angulata,species,L.,NA,Wagner et al. 2012,"Imada et al., 2000; Oppenheimer, 2003; Staples et al., 2006","wild cape gooseberry, vivao, wild capegooseberry, vi vao",PHYANG,Herb,Annual,FALSE,FALSE,2013-12-13T12:17:25Z,Kelly Kozar,Updated authority source and citation data. Updated life form in xref table from PLANTS database. Updated life form in xref table from PLANTS database.,30590,NPSA,NA,NA,Non-Native,NA,NA,NA,NA,NA
20100315154438-107543349.266052,Yes,30590,Solanales,Solanaceae,Physalis ,angulata,NA,Physalis angulata,species,L.,NA,Wagner et al. 2012,"Imada et al., 2000; Oppenheimer, 2003; Staples et al., 2006","wild cape gooseberry, vivao, wild capegooseberry, vi vao",PHYANG,Herb,Annual,FALSE,FALSE,2013-12-13T12:17:25Z,Kelly Kozar,Updated authority source and citation data. Updated life form in xref table from PLANTS database. Updated life form in xref table from PLANTS database.,30590,WAPA,NA,NA,Non-Native,NA,NA,NA,NA,NA
