"","Species_ID","Bishop_DB_Match","TSN","Taxonomic_Order","Taxonomic_Family","Genus","Species","Subdivision","Scientific_name","taxonRank","Authority","Synonym","Authority_Source","Citation","Common_name","Code","Life_form","Life_cycle","Omit_in_NPSpecies","Complete","Update_date","Update_by","Update_comments","TSN_park","Park","Park_common_name","Life_form_park","Nativeness","Distribution","Conservation_status","Update_date_park","Update_by_park","Update_comments_park","pacn_name","pacn_auth","bish_id","bish_name","bish_name_auth","bish_name_status","bish_accepted_name_id","bish_accepted_status","bish_IPNIID","bish_parentNameUsageID","bish_scientificName","bish_scientificNameAuthorship","bish_namePublishedIn","bish_taxonRank","bish_kingdom","bish_phylum","bish_class","bish_order","bish_family","bish_genus","bish_subgenus","bish_specificEpithet","bish_infraspecificEpithet","bish_Federal Status","bish_IUCNClassification","bish_RedlistCriteria","bish_vernacularName","pacn_new_bish_db_match"
"1","20100315154438-100214958.190918","Yes",23289,"Capparales","Brassicaceae","Raphanus","raphanistrum",NA,"Raphanus raphanistrum","species","L.",NA,"Wagner et al. 2012","Staples et al., 2003","wild radish","RAPRAP","Herb","Annual",FALSE,FALSE,2013-12-13 12:17:25,"Kelly Kozar","Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60. Updated life form in xref table from PLANTS database.",23289,"HAVO",NA,NA,"Non-Native","nat",NA,NA,NA,NA,"Raphanus raphanistrum","L.","3C9E892D-F4F6-4CEA-BA37-EAC8B900CAD2","Raphanus raphanistrum","L.","Accepted","3C9E892D-F4F6-4CEA-BA37-EAC8B900CAD2","Accepted","217826-2","21378D84-F4D8-48F4-8D68-64520F6EF0B4","Raphanus raphanistrum","L.","Sp. Pl.: 669 (1753)","species","Viridiplantae","Magnoliophyta","Eudicot-Rosids","Brassicales","Brassicaceae","Raphanus","NULL","raphanistrum","NULL","NULL","NULL","NULL","wild radish","Yes"
"2","20100315154438-101445436.477661","Yes",502759,"Geraniales","Geraniaceae","Geranium","homeanum",NA,"Geranium homeanum","species","Turcz.",NA,"2012 Bishop Museum Technical Report 60","Wagner et al. 1990","Australasian geranium","GERHOM","Herb","Perennial",FALSE,TRUE,2013-12-12 15:35:47,"Kelly Kozar","Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.",502759,"HALE","Australasian geranium","Herb","Non-Native","nat",NA,NA,NA,NA,"Geranium homeanum","Turcz.","7DADB5F0-0F23-423C-863A-675DB101A3BC","Geranium homeanum","Turcz.","Accepted","7DADB5F0-0F23-423C-863A-675DB101A3BC","Accepted","373148-1","DC8CF199-DC77-47BD-B058-EB3759F0AF44","Geranium homeanum","Turcz.","Bull. Soc. Imp. Naturalistes Moscou 36(I): 591 (1863)","species","Viridiplantae","Magnoliophyta","Eudicot-Rosids","Geraniales","Geraniaceae","Geranium","NULL","homeanum","NULL","NULL","NULL","NULL","cranesbill","Yes"
"3","20100315154438-101445436.477661","Yes",502759,"Geraniales","Geraniaceae","Geranium","homeanum",NA,"Geranium homeanum","species","Turcz.",NA,"2012 Bishop Museum Technical Report 60","Wagner et al. 1990","Australasian geranium","GERHOM","Herb","Perennial",FALSE,TRUE,2013-12-12 15:35:47,"Kelly Kozar","Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.",502759,"HAVO","Australasian geranium","Herb","Non-Native","nat",NA,NA,NA,NA,"Geranium homeanum","Turcz.","7DADB5F0-0F23-423C-863A-675DB101A3BC","Geranium homeanum","Turcz.","Accepted","7DADB5F0-0F23-423C-863A-675DB101A3BC","Accepted","373148-1","DC8CF199-DC77-47BD-B058-EB3759F0AF44","Geranium homeanum","Turcz.","Bull. Soc. Imp. Naturalistes Moscou 36(I): 591 (1863)","species","Viridiplantae","Magnoliophyta","Eudicot-Rosids","Geraniales","Geraniaceae","Geranium","NULL","homeanum","NULL","NULL","NULL","NULL","cranesbill","Yes"
"4","20100315154438-101909756.660461","Yes",183424,"Pinales","Pinaceae","Pseudotsuga","menziesii",NA,"Pseudotsuga menziesii","species",NA,NA,NA,NA,"douglas-fir","PSEMEN","Tree","Perennial",FALSE,FALSE,NA,NA,NA,183424,"HALE",NA,NA,"Non-Native",NA,NA,NA,NA,NA,"Pseudotsuga menziesii","","EF77F531-588E-4381-BA9E-11D6685FAF45","Pseudotsuga menziesii","(Mirb.) Franco","Accepted","EF77F531-588E-4381-BA9E-11D6685FAF45","Accepted","677141-1","8343668E-F547-48D4-9606-6921C2EF4474","Pseudotsuga menziesii","(Mirb.) Franco","Conif. Duarum Nominibus: 4 (1950)","species","Viridiplantae","Pinophyta","Pinopsida","Pinales","Pinaceae","Pseudotsuga","NULL","menziesii","NULL","NULL","Least Concern","NULL","Douglas fir","Yes"
"5","20100315154438-102321565.151215","Yes",505181,"Fabales","Fabaceae","Senna","surattensis",NA,"Senna surattensis","species","(Burm. f.) H. S. Irwin & Barneby",NA,"Wagner et al. 2012","Staples et al., 2002; Oppenheimer, 2007","glossy shower","SENSUR","Tree","Perennial",FALSE,FALSE,2013-12-13 12:17:25,"Kelly Kozar","Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60. Updated life form in xref table from PLANTS database. Updated life form in xref t",505181,"HALE",NA,NA,"Non-Native","nat",NA,NA,NA,NA,"Senna surattensis","(Burm. f.) H. S. Irwin & Barneby","84E3134C-A3DA-4615-B35C-63993EB27D0D","Senna surattensis","(Burm.f.) H.S.Irwin & Barneby","Accepted","84E3134C-A3DA-4615-B35C-63993EB27D0D","Accepted","911423-1","4A321026-E1D8-4704-A86C-C3E88F9C12A9","Senna surattensis","(Burm.f.) H.S.Irwin & Barneby","Mem. New York Bot. Gard. 35(1): 81 (1982)","species","Viridiplantae","Magnoliophyta","Eudicot-Rosids","Fabales","Fabaceae","Senna","NULL","surattensis","NULL","NULL","Least Concern","NULL","kolomona, scrambled egg plant, scrambled eggs","Yes"
"6","20100315154438-103826642.036438","Yes",40795,"Cyperales","Poaceae","Festuca","myuros",NA,"Festuca myuros","species","L.","Vulpia myuros (L.) C.C.Gmel.","Wagner et al. 2012","Catalán et al., 2007; Inda et al, 2008","rat tail fescue","FESMYR","Grass","Annual",FALSE,TRUE,2013-12-12 15:38:12,"Kelly Kozar","Updated authority source, citation, and synonym data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.",40795,"HALE","rat tail fescue","Grass","Non-Native","nat",NA,NA,NA,NA,"Festuca myuros","L.","84472434-FC8A-4001-BA1C-1BD560B563D1","Festuca myuros","L.","Accepted","84472434-FC8A-4001-BA1C-1BD560B563D1","Accepted","403134-1","A68C5800-B6CA-4A67-8ADF-8D7922BD7959","Festuca myuros","L.","Sp. Pl.: 74 (1753)","species","Viridiplantae","Magnoliophyta","Monocots","Poales","Poaceae","Festuca","NULL","myuros","NULL","NULL","NULL","NULL","6 weeks fescue, rat tail fescue, rattail fescue","Yes"
"7","20100315154438-103826642.036438","Yes",40795,"Cyperales","Poaceae","Festuca","myuros",NA,"Festuca myuros","species","L.","Vulpia myuros (L.) C.C.Gmel.","Wagner et al. 2012","Catalán et al., 2007; Inda et al, 2008","rat tail fescue","FESMYR","Grass","Annual",FALSE,TRUE,2013-12-12 15:38:12,"Kelly Kozar","Updated authority source, citation, and synonym data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.",40795,"HAVO","rat tail fescue","Grass","Non-Native","nat",NA,NA,NA,NA,"Festuca myuros","L.","84472434-FC8A-4001-BA1C-1BD560B563D1","Festuca myuros","L.","Accepted","84472434-FC8A-4001-BA1C-1BD560B563D1","Accepted","403134-1","A68C5800-B6CA-4A67-8ADF-8D7922BD7959","Festuca myuros","L.","Sp. Pl.: 74 (1753)","species","Viridiplantae","Magnoliophyta","Monocots","Poales","Poaceae","Festuca","NULL","myuros","NULL","NULL","NULL","NULL","6 weeks fescue, rat tail fescue, rattail fescue","Yes"
"8","20100315154438-103972256.183624","Yes",26798,"Fabales","Fabaceae","Mucuna","sloanei",NA,"Mucuna sloanei","species",NA,NA,NA,NA,"horseeye bean","MUCSLO","Forb/herb, Vine",NA,FALSE,FALSE,2013-12-13 12:15:59,"Kelly Kozar","Updated life form in cross reference table from data in the PLANTS database.",26798,"HALE",NA,NA,"Native",NA,NA,NA,NA,NA,"Mucuna sloanei","","ABCA30C1-B377-4E8E-8AE2-2532328916C5","Mucuna sloanei","Fawc. & Rendle","Accepted","ABCA30C1-B377-4E8E-8AE2-2532328916C5","Accepted","291345-2","2B5D75B3-A2C7-43B7-ACB3-3BD8074E647C","Mucuna sloanei","Fawc. & Rendle","J. Bot. 55: 36 (1917)","species","Viridiplantae","Magnoliophyta","Eudicot-Rosids","Fabales","Fabaceae","Mucuna","NULL","sloanei","NULL","NULL","NULL","NULL","cow-itch plant, sea bean","Yes"
"9","20100315154438-104432284.832001","No",-9789803,"Rubiales","Rubiaceae","Coprosma","ochracea × Coprosma rhynchocarpa",NA,"Coprosma  ochracea × Coprosma rhynchocarpa","hybrid",NA,NA,"Bishop Plant's of Hawaiʻi Online",NA,NA,"COPOCH1","Shrub","Perennial",FALSE,FALSE,2025-12-02,"Jacob Gross","JG (2021 update): changed lifeform from [blank] to ""Tree"".",-9789803,"HAVO","pilo","Tree","Native","end",NA,2021-10-14,"Jacob Gross",NA,"Coprosma ochracea × Coprosma rhynchocarpa","","9B825CC1-F1F8-4721-A91B-B633637E2B72","Coprosma ochracea × Coprosma rhynchocarpa","NULL","Accepted","9B825CC1-F1F8-4721-A91B-B633637E2B72","Accepted","NULL","7C1341B3-57B2-4FD9-A117-3B83E9968DE9","Coprosma ochracea × Coprosma rhynchocarpa","NULL","NULL","nothospecies","Viridiplantae","Magnoliophyta","Eudicot-Asterids","Gentianales","Rubiaceae","Coprosma","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Yes"
"10","20100315154438-106133759.021759","Yes",897631,"Polypodiales","Dryopteridaceae","Dryopteris","unidentata","var. paleacea","Dryopteris unidentata var. paleacea","varietas","(Hook. & Arn.) C.Chr.; (Hillebr.) Herat ex Fraser-Jenk.",NA,"2012 Bishop Museum Technical Report 60","Palmer 2003","akole","DRYUNI1","Fern","Perennial",FALSE,FALSE,2013-12-12 15:46:39,"Kelly Kozar","Updated TSNs from ITIS database data, mostly from temporary TSNs to permanent TSNs. Updated authority source and citation.  Updated distribution in xref table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.",897631,"HALE",NA,NA,"Native","end",NA,NA,NA,NA,"Dryopteris unidentata var. paleacea","(Hook. & Arn.) C.Chr.; (Hillebr.) Herat ex Fraser-Jenk.","D7A2E578-9066-4107-B147-FE4D20DE3399","Dryopteris unidentata var. paleacea","(Hillebr.) Herat ex Fraser-Jenk.","Accepted","D7A2E578-9066-4107-B147-FE4D20DE3399","Accepted","17564060-1","4F6EBA62-4E96-43BE-B226-2755EC739B54","Dryopteris unidentata var. paleacea","(Hillebr.) Herat ex Fraser-Jenk.","Thaiszia 4(1): 31 (1994)","variety","Viridiplantae","Pteridophyta","Polypodiopsida","Polypodiales","Dryopteridaceae","Dryopteris","NULL","unidentata","paleacea","NULL","NULL","NULL","‘akole","Yes"
