created_at,observed_on_string,taxon.name,taxon.rank,taxon.preferred_common_name,uri,location,geoprivacy,positional_accuracy_meters,user.login,park,parkName,row_id
2015-05-16T14:18:05-10:00,2015-05-16,Zingiber officinale,species,Ginger,http://www.inaturalist.org/observations/1499348,"19.421592,-155.253038",NA,NA,kgallo,Hawaii Volcanoes National Park,HAVO,172
2015-05-16T14:18:04-10:00,2015-05-16,Rubus armeniacus,species,Armenian Blackberry,http://www.inaturalist.org/observations/1499345,"19.421592,-155.253038",NA,NA,kgallo,Hawaii Volcanoes National Park,HAVO,175
2015-05-16T13:21:12-10:00,Sat May 16 2015 12:50:08 GMT-1000 (HST),Rubus pensilvanicus,species,Pennsylvania Blackberry,http://www.inaturalist.org/observations/1498997,"19.438337,-155.302964",NA,5,lindapratt,Hawaii Volcanoes National Park,HAVO,190
2015-05-16T13:21:08-10:00,Sat May 16 2015 12:08:02 GMT-1000 (HST),Microlepia setosa setosa,variety,palapalai,http://www.inaturalist.org/observations/1498985,"19.442677,-155.302802",NA,10,lindapratt,Hawaii Volcanoes National Park,HAVO,204
2015-05-16T13:21:02-10:00,Sat May 16 2015 11:29:35 GMT-1000 (HST),Microlepia setosa setosa,variety,palapalai,http://www.inaturalist.org/observations/1498962,"19.440742,-155.301505",NA,50,lindapratt,Hawaii Volcanoes National Park,HAVO,216
2015-05-16T13:20:59-10:00,Sat May 16 2015 11:18:54 GMT-1000 (HST),Mentha spicata spicata,subspecies,Spear Mint,http://www.inaturalist.org/observations/1498955,"19.439962,-155.302318",NA,5,lindapratt,Hawaii Volcanoes National Park,HAVO,221
2015-05-16T10:22:26-10:00,Fri May 15 2015 15:46:00 GMT-1000 (HST),Spermacoce prostrata,species,Prostrate False Buttonweed,http://www.inaturalist.org/observations/1497386,"19.401976,-155.265619",NA,10,lperry,Hawaii Volcanoes National Park,HAVO,374
2015-05-15T22:04:20-06:00,2015-05-15 5:14:25 PM HST,Sporobolus indicus,species,smut grass,http://www.inaturalist.org/observations/1494506,"19.4317663,-155.2692219",NA,2718,rmssn,Hawaii Volcanoes National Park,HAVO,451
2015-05-15T17:42:37-10:00,Fri May 15 2015 15:35:29 GMT-1000 (HST),Rubus pensilvanicus,species,Pennsylvania Blackberry,http://www.inaturalist.org/observations/1494388,"19.444053,-155.331803",NA,5,mwasser,Hawaii Volcanoes National Park,HAVO,465
2015-05-15T17:19:12-10:00,Fri May 15 2015 17:08:38 GMT-1000 (HST),Cyperus polystachyos polystachyos,variety,Manyspike Flatsedge,http://www.inaturalist.org/observations/1494151,"19.429421,-155.257402",NA,5,joshuarv,Hawaii Volcanoes National Park,HAVO,527
