taxon.name,parkName,n
Adenium,HAVO,1
Agrostis capillaris,HALE,9
Allamanda cathartica,HALE,2
Allamanda cathartica,HAVO,1
Alpinia purpurata,KALA,1
Alpinia zerumbet,HALE,1
Alpinia zerumbet,KALA,1
Amaranthus viridis,KALA,1
Anthurium andraeanum,HAVO,24
Arabidopsis thaliana,HALE,1
Ardisia crenata,KAHO,1
Ardisia elliptica,HAVO,2
Artabotrys hexapetalus,HALE,4
Arundina graminifolia caespitosa,HAVO,1
Asplenium musifolium,HALE,4
Averrhoa bilimbi,KALA,1
Bambusa multiplex,HAVO,1
Bambusa vulgaris,HAVO,1
Banksia,HALE,1
Banksia speciosa,KALA,1
Begonia hirtella,HAVO,4
Bidens alba,KALA,1
Boehmeria nivea,KAHO,1
Boerhavia diffusa,HAVO,1
Bombax ceiba,HAVO,1
Bothriochloa bladhii,HAVO,1
Bouchetia erecta,HAVO,1
Bougainvillea,KALA,2
Bougainvillea glabra,KALA,1
Brugmansia,HALE,1
Brugmansia aurea,HAVO,1
Buddleja paniculata,HAVO,2
Calanthe tankervilleae,KALA,1
Calyptocarpus vialis,HALE,2
Capparis spinosa,KAHO,1
Carex longii,HAVO,2
Cassia × nealiae,HAVO,1
Cattleya,HAVO,2
Cenchrus echinatus,HALE,1
Cenchrus echinatus,KAHO,1
Cenchrus setosus,KAHO,1
Cerastium glomeratum,HALE,2
Cestrum nocturnum,HALE,1
Chamaecrista nictitans patellaria,HAVO,1
Chloris barbata,HALE,1
Chloris radiata,HALE,1
Chrysanthemum,HAVO,1
Citrus deliciosa,KALA,1
Cleome rutidosperma,HALE,1
Clerodendrum chinense,HAVO,1
Clerodendrum macrostegium,HALE,1
Cocculus,HAVO,1
Commelina diffusa diffusa,HAVO,1
Cordia sebestena,KAHO,1
Cornaceae,HAVO,1
Costus comosus,HALE,1
Costus woodsonii,HAVO,1
Cotula australis,HAVO,1
Cotula australis,KALA,1
Crassula ovata,KALA,1
Crepis capillaris,HAVO,1
Crinum asiaticum,HALE,1
Crinum × amabile,HAVO,1
Crotalaria trichotoma,HAVO,1
Cupressus sempervirens,HAVO,1
Cycas revoluta,HALE,1
Cyclospermum leptophyllum,HALE,1
Cymbalaria muralis,HALE,1
Cyperus compressus,HALE,1
Cyperus difformis,HALE,1
Cyperus meyenianus,HALE,9
Cyperus polystachyos polystachyos,HAVO,3
Cyperus sanguinolentus,HAVO,12
Cyperus sesquiflorus,HAVO,6
Delonix regia,KALA,2
Desmodium tortuosum,HALE,1
Dianthus chinensis × barbatus,HAVO,2
Dichanthium annulatum annulatum,HALE,1
Dietes grandiflora,HAVO,1
Digitaria henryi,HALE,4
Digitaria henryi,KALA,1
Digitaria radicosa,HALE,1
Dimerocostus strobilaceus,HALE,1
Diplazium esculentum,HALE,2
Dodonaea viscosa viscosa,HAVO,1
Dracaena reflexa angustifolia,KALA,1
Dubautia ciliolata × scabra,HAVO,1
Ehrharta erecta,HALE,1
Eleocharis geniculata,HALE,1
Enterolobium cyclocarpum,HALE,1
Epidendrum radicans,HAVO,4
Epilobium ciliatum,HALE,3
